3821068	1078750	980778	782646	628957	487684	368847	308852	381970	305281	190619	214360	450188
3992747	1072940	783781	801822	622683	523967	304267	369147	341160	297618	217837	167244	504788
3967629	1127804	690834	709107	653249	544326	336502	454948	436577	300047	269315	181691	327973
3965680	1127833	676554	689262	659558	537580	337856	476214	454463	308836	269155	183217	313792
4026263	1106159	674765	695458	655776	539077	337437	467077	434675	301207	258976	195605	307530
4302722	1013938	678616	749153	706361	483217	353044	437018	381321	244745	193220	158709	297939
4710456	853612	728502	962465	771285	351676	424517	371849	292958	107787	85546	73470	265877
4746895	848286	744562	972829	778474	358141	381076	367186	255116	103958	90206	69691	283581
5040460	746017	507134	612505	694225	404590	531960	348958	271830	180959	191823	127689	341850
5038970	708674	488204	585124	672074	401786	555557	345575	291320	201127	208200	139744	363648
5059918	699202	480984	584919	669782	406261	560346	347802	284428	197198	210534	140786	357841
5058350	704830	479193	584030	665415	405691	551361	343825	292448	198982	207571	140130	368175
5043748	704846	482398	587789	667329	410304	560948	348128	288103	201236	211421	141916	351844
5052129	710870	476749	584941	666601	411284	559197	347350	285125	196803	210816	142737	355401
5066277	712129	472099	582813	663880	408852	560873	346087	283024	191510	214344	141620	356492
5146337	715566	441150	562875	645530	405172	552058	333556	287647	177303	218961	131659	382189
4809451	778256	705088	592531	601023	382404	496940	312967	246384	170110	195742	116524	592580
2711508	1620572	738863	260100	1972885	624374	740346	254195	307585	154358	61731	33348	520135
2949999	1575539	468748	276896	1845193	703699	944376	286897	399413	226652	71144	36169	215278
3464034	1300545	685104	612345	1153157	608152	383659	414761	387117	259102	228274	149597	354159
3972170	1126263	675978	690192	659559	535452	338310	476820	452721	307553	268977	181222	314786
4052060	1099634	672106	695205	652185	533808	336036	470533	427822	304808	250294	198230	307279
4581717	890970	707653	891005	753116	397169	384383	396277	315888	156153	125629	104875	295167
4721600	827432	721820	968253	787442	353475	402535	377853	287829	107303	86836	72231	285394
4950738	838678	620747	771811	774888	381921	453867	361019	259525	122724	114393	81907	267782
5046363	703104	497413	586484	652853	404707	560348	339386	281898	202822	210301	143456	370870
5049643	707614	490493	584304	660746	406607	560302	340500	288455	200104	209183	143211	358840
5043674	705110	498025	583812	659549	409846	562754	343671	287651	199981	210248	143749	351936
5044922	708561	486656	582017	667495	404694	559998	342650	292936	196719	207321	141698	364334
5036999	710124	490844	584580	665064	410081	566508	349720	285493	197210	209231	142433	351718
5026207	713695	489308	589021	669712	411024	564064	347713	284734	197517	208589	141974	356442
5129926	703202	450488	560622	669602	396598	557069	336466	292449	178053	211992	135857	377676
5102910	716225	462869	565366	656075	405759	574740	348097	282640	181886	216724	130260	356456
5297702	651881	608087	487031	517894	519515	427398	375835	360997	218189	130521	93004	311948
5601586	595136	695746	335637	374650	624936	352870	386680	450374	248797	64838	44107	224649
5583338	584983	696246	354825	375856	630762	342885	392990	453973	234573	67008	42938	239629
4875755	666688	1174200	387706	371743	493843	296144	301893	348237	192984	53982	38721	798107
3014920	1676741	404536	124888	2058827	679470	784758	277549	369678	195820	71279	37482	304055
2936628	1630768	441755	143594	2087431	758481	836174	267036	351234	195522	62301	32511	256566
2838073	1693838	439109	246388	2121120	634722	842596	265128	350451	183322	72075	36989	276191
2703830	1662465	486708	261240	2097058	721474	869817	274003	373414	207602	67408	37904	237079
4586085	1018428	525986	485961	546205	631157	455871	527204	358663	74807	46051	43661	699921
3801020	1044023	1184715	740396	610114	299263	184797	176468	263192	163820	44933	9179	1478080
3006394	2394390	833185	40837	33690	31289	36753	17795	18170	11906	9533	3687	3562371
3023373	2374392	833206	49628	41069	36913	43394	21088	21287	14109	11308	4326	3525907
3058578	2333201	833294	65847	54405	49130	57090	27815	28081	18858	15097	5935	3452671
3179823	2176322	835165	140739	112237	95608	118629	54006	54743	38046	30277	29305	3135101
4654942	1171732	728521	484448	427246	299402	301381	235490	198037	95713	28395	29825	1344868
5800773	698476	529220	458753	539907	436994	379941	414052	272018	100195	43275	45906	280490
5009107	466248	635677	621634	624247	618271	569051	483156	278328	137402	64631	47655	444593
4610503	614066	1031115	514919	586641	557658	556255	481592	407918	248565	84883	45283	260604
4914370	771194	637936	518614	464864	612199	443959	574799	384671	85660	47983	44659	499092
3577268	1121246	1103353	787103	584789	443453	318260	159066	193533	149979	39604	15894	1506453
3471639	1160722	1239615	749162	597420	361472	229595	123879	151463	121966	27468	9966	1755635
4903500	420754	784446	739222	537053	593265	478190	514405	158353	80040	67044	36968	686764
4578044	1242900	813022	566629	670725	406932	333486	390523	398611	197782	68349	43355	289647
4915142	749288	805768	582426	726154	406602	357241	435282	488349	202658	81721	57262	192107
4936088	750614	803019	577969	720701	403568	350330	428333	510726	189655	79055	58204	191739
4938906	749846	799403	575014	726238	394557	355003	434144	506354	191591	79662	57352	191930
4191348	618778	850476	921228	982861	797410	412453	433849	367332	112071	62511	49331	200356
4545957	659094	805248	775507	780700	524038	493741	506779	386785	198248	68398	36352	219154
4840323	690042	764638	624805	698554	369574	493841	637014	373273	203625	87451	31238	185623
4839090	693795	761215	626629	694156	366866	489583	654741	363857	202205	88706	32361	186800
6626645	346699	451672	418702	433582	237339	265274	329940	168125	92189	40561	18588	570684
9339672	3713	2034	1156	1881	271	620	1599	1149	2650	10410	15	634830
9339619	3671	2031	1172	1007	1158	619	1828	930	31	2942	20443	624549
9339569	3703	2047	1159	999	771	998	1883	873	31	11	29738	618218
9339828	3663	2056	1119	1007	157	1612	1931	806	27	8	73	647713
9339574	3749	2083	1146	1030	154	1541	1989	755	33	29	0	647917
