45	14	22	11	7	4	7	3	0	0	1	0	1
61	21	14	14	4	6	5	10	4	4	1	0	0
42	14	19	25	9	5	5	4	5	7	0	0	3
59	19	28	16	8	6	5	4	5	2	0	0	0
58	14	17	15	13	6	4	4	3	0	0	0	0
64	14	27	21	16	4	4	4	5	0	0	0	0
51	18	21	17	10	10	10	2	3	0	0	0	0
69	15	18	21	19	12	10	8	3	0	0	0	0
45	9	13	16	10	8	13	9	3	0	0	0	0
43	15	12	19	21	7	7	4	2	1	0	0	0
49	14	11	10	10	9	14	7	2	1	0	0	0
62	15	15	14	14	4	5	5	3	0	0	0	0
53	24	21	16	15	7	11	5	2	1	0	1	1
66	15	26	14	18	4	6	5	1	0	0	0	1
66	6	19	23	7	8	6	0	1	0	0	1	3
64	13	25	18	4	9	1	1	0	0	0	0	2
51	18	29	12	6	1	3	0	2	2	0	0	7
60	19	18	18	9	10	2	0	0	0	0	0	2
80	16	19	21	12	2	1	1	0	0	0	1	2
87	7	16	25	8	5	7	7	2	1	0	0	1
77	12	7	16	12	12	5	6	3	0	1	0	1
70	8	18	18	9	0	4	2	2	0	0	0	0
74	12	9	12	18	7	7	5	5	2	0	0	2
62	17	11	17	7	11	4	3	1	6	0	0	2
69	10	12	13	14	6	3	3	2	3	0	0	0
85	15	14	5	10	7	5	3	4	3	0	0	1
71	13	13	15	9	12	7	5	3	3	1	0	1
95	12	11	16	9	7	4	3	1	0	0	0	3
62	11	14	15	5	11	3	6	2	2	2	0	2
73	17	17	19	13	10	6	1	0	1	1	0	0
67	32	6	22	8	12	3	3	2	2	1	0	1
67	7	12	12	10	10	7	6	2	2	0	0	2
67	9	10	15	9	13	6	3	2	2	0	0	2
80	10	9	12	11	10	8	5	2	1	1	0	0
66	16	12	16	8	8	4	3	2	0	3	0	1
98	12	12	16	14	6	7	7	2	2	0	0	0
71	9	10	14	9	8	7	5	3	3	0	0	0
64	12	16	15	12	6	5	3	5	1	0	0	0
70	15	12	17	11	3	7	5	4	2	0	0	1
23	15	19	11	9	2	0	0	0	0	0	0	22
25	13	6	23	16	5	0	0	0	0	0	0	2
31	7	6	5	21	6	4	1	0	0	0	0	1
26	11	8	14	21	10	2	1	0	0	0	0	1
18	18	8	16	15	6	0	1	0	0	0	0	1
26	8	4	16	19	6	8	2	0	0	0	0	0
21	14	5	9	10	9	5	1	0	0	0	0	0
20	15	10	19	18	8	3	1	0	0	0	0	0
50	19	15	13	12	8	10	6	5	2	0	0	1
41	13	27	17	11	10	5	6	2	0	0	0	0
52	14	20	20	9	7	3	11	2	1	1	0	0
50	12	22	5	10	8	10	11	0	1	0	0	1
65	20	21	11	7	12	7	11	6	0	0	0	0
58	18	18	13	19	8	8	6	1	1	0	0	0
67	15	25	13	12	9	6	6	3	2	1	2	0
57	15	21	17	4	6	3	1	0	0	0	0	1
79	12	12	12	14	5	4	4	0	0	0	0	0
66	16	19	8	6	6	2	2	0	0	0	0	1
64	20	28	9	9	4	5	1	0	1	0	1	4
59	15	20	10	6	11	3	0	0	0	0	2	2
